dimension_id,pattern_id
1,3
1,5
1,7
1,8
1,9
1,13
1,14
1,19
1,20
1,21
1,25
1,26
1,28
1,29
1,31
1,32
1,33
1,41
1,42
1,44
1,46
1,47
1,49
1,50
1,51
2,1
2,4
2,5
2,7
2,10
2,11
2,12
2,14
2,19
2,23
2,24
2,31
2,33
2,35
2,37
2,44
2,45
3,1
3,2
3,8
3,9
3,12
3,13
3,15
3,17
3,20
3,21
3,22
3,24
3,33
3,35
3,36
3,46
3,50
3,51
4,1
4,3
4,4
4,5
4,6
4,9
4,15
4,18
4,21
4,25
4,30
4,32
4,33
4,35
4,37
4,38
4,46
4,49
4,51
5,6
5,9
5,10
5,11
5,12
5,14
5,16
5,17
5,23
5,26
5,33
5,35
5,40
5,46
5,50
6,1
6,2
6,3
6,7
6,8
6,11
6,14
6,18
6,20
6,26
6,36
6,39
6,40
6,44
6,51
7,16
7,17
7,18
7,28
7,40
7,48
7,51
8,5
8,11
8,12
8,13
8,14
8,15
8,16
8,23
8,25
8,26
8,30
8,34
8,36
8,39
8,43
8,44
8,49
9,2
9,3
9,10
9,14
9,20
9,26
9,27
9,28
9,29
9,32
9,39
9,40
9,41
9,42
9,47
9,48
9,50
9,51
10,2
10,6
10,9
10,12
10,14
10,16
10,22
10,23
10,33
10,39
10,44
10,49
10,50
